sentence,isSafe,timing
1,1,3.56591129302979
2,1,1.57433676719666
3,1,1.87429308891296
4,1,2.49952483177185
5,0,3.24059200286865
6,1,1.77472138404846
7,1,2.73107099533081
8,1,3.00579452514648
9,1,1.59892797470093
10,1,1.23321986198425
11,1,3.25477290153503
12,0,2.37615346908569
13,1,2.55044364929199
14,1,3.02125978469849
15,1,3.01632237434387
16,0,2.75060224533081
17,1,1.61283230781555
18,1,2.72647857666016
19,1,1.70070648193359
20,1,2.99946880340576
21,1,2.37082672119141
22,1,2.33664226531982
23,1,3.51882886886597
24,1,3.47821855545044
25,1,3.18343091011047
26,1,3.47705245018005
27,1,3.26776695251465
28,1,3.23215627670288
29,1,2.98169946670532
30,1,3.21450543403625
31,1,1.85732412338257
32,1,2.31830310821533
33,1,1.73867988586426
34,1,0.937230110168457
35,0,3.5145058631897
36,1,2.30554389953613
37,1,1.81972742080688
38,1,2.66524648666382
39,0,3.48171663284302
40,1,1.63439917564392
41,0,1.51179432868958
42,1,3.50520968437195
43,1,1.60340929031372
44,1,1.7612156867981
45,1,3.01489567756653
46,0,2.73495936393738
47,1,3.3304717540741
48,1,3.14037227630615
49,1,1.85567045211792
50,1,3.57561326026916
51,1,2.66060972213745
52,0,2.52101564407349
53,1,2.74406456947327
54,1,3.5050253868103
55,1,3.22492051124573
56,0,2.53440856933594
57,1,2.54610371589661
58,1,1.66682410240173
59,1,1.46095776557922
60,1,1.52710485458374
61,1,1.32019400596619
62,1,1.42054104804993
63,1,3.03462815284729
64,1,3.00776624679565
65,1,3.50583624839783
66,1,2.25123310089111
67,1,3.25654029846191
68,1,3.39950728416443
69,1,1.70785164833069
70,1,1.71573185920715
71,1,1.63934850692749
72,1,3.48409485816956
73,1,3.02597093582153
74,1,3.50192499160767
75,1,3.01519227027893
76,1,3.25296592712402
77,1,2.53430414199829
78,1,3.5160813331604
79,0,3.2605893611908
80,1,2.28354406356812
81,1,3.12000322341919
82,1,3.16771721839905
83,1,3.51346826553345
84,0,1.67219662666321
85,1,2.98343992233276
86,1,2.71712756156921
87,1,3.49847722053528
88,1,3.47554779052734
89,1,1.4623396396637
90,1,3.00164175033569
91,1,3.19006299972534
92,1,1.25747156143188
93,1,2.78575921058655
94,1,3.46960043907166
95,1,3.03040742874145
96,0,3.21491932868958
97,1,1.71839547157288
98,1,2.72222638130188
99,1,1.8519914150238
100,1,3.26489639282227
101,1,3.48392176628113
102,1,2.5252845287323
103,1,3.50013303756714
104,1,2.44156432151794
105,1,2.58860158920288
106,1,1.78492784500122
107,1,1.56413102149963
108,1,3.52750968933105
109,1,2.72756958007812
110,1,1.58396530151367
111,0,3.50105929374695
112,1,1.83795762062073
113,1,1.43747138977051
114,0,1.42332720756531
115,1,2.37372016906738
116,1,3.53864097595215
117,0,1.87205648422241
118,1,3.21851706504822
119,1,2.53733897209167
120,1,1.75229930877686
121,1,3.25665664672852
122,1,1.28265476226807
123,1,3.26263117790222
124,1,3.28199648857117
125,0,2.54856610298157
126,1,3.00790810585022
127,1,1.71013736724854
128,1,1.76295518875122
129,1,1.56716418266296
130,1,2.36771488189697
131,1,1.93092727661133
132,1,3.44070434570312
133,1,2.72665071487427
134,1,3.49757480621338
135,1,3.48754024505615
136,1,1.81613993644714
137,1,3.49248433113098
