sentence,position,eps,timing
0,1,1.271875023841858,61.581617
0,2,1.278749942779541,61.502885
0,3,1.3312499523162842,61.105890
0,4,1.2793749570846558,61.658135
0,5,1.2731250524520874,61.425113
0,6,1.2799999713897705,61.088862
0,7,1.2899999618530273,60.554371
0,8,1.283750057220459,60.842711
0,9,1.3012499809265137,60.910798
0,10,1.2743749618530273,61.701612
0,11,1.2825000286102295,61.352245
0,12,1.274999976158142,61.221703
0,13,1.287500023841858,61.245991
0,14,1.28125,61.593660
0,15,1.277500033378601,61.710774
0,16,1.2899999618530273,61.803703
0,17,1.2899999618530273,63.804312
0,18,1.2793749570846558,62.890006
1,1,1.347499966621399,76.390500
1,2,1.340000033378601,75.981549
1,3,1.346250057220459,74.976744
1,4,1.337499976158142,73.832313
1,5,1.337499976158142,74.609431
1,6,1.341249942779541,74.209464
1,7,1.3362499475479126,74.210788
1,8,1.341249942779541,74.633687
1,9,1.3450000286102295,75.765051
1,10,1.347499966621399,75.558326
1,11,1.34375,76.084523
1,12,1.3450000286102295,76.681324
1,13,1.3450000286102295,76.263424
1,14,1.346250057220459,76.404487
1,15,1.34375,76.454072
1,16,1.3424999713897705,76.085795
1,17,1.346250057220459,74.991220
1,18,1.3387500047683716,77.023034
1,19,1.34375,76.064544
1,20,1.340000033378601,76.310773
1,21,1.3424999713897705,75.484344
1,22,1.341249942779541,74.913647
1,23,1.3537499904632568,75.990868
1,24,1.341249942779541,73.962132
1,25,1.3450000286102295,75.683061
2,1,1.011875033378601,46.109286
2,2,1.011875033378601,44.899213
2,3,1.0068750381469727,43.744066
2,4,1.0149999856948853,43.602932
2,5,0.9981250166893005,43.762123
2,6,1.015625,43.321229
3,1,1.5437500476837158,54.764258
3,2,1.5525000095367432,54.719305
3,3,1.5512499809265137,54.388679
3,4,1.5575000047683716,54.845667
3,5,1.558750033378601,54.270483
3,6,1.5462499856948853,53.887475
3,7,1.5537500381469727,54.767764
3,8,1.5575000047683716,54.974219
3,9,1.5625,53.276875
3,10,1.556249976158142,53.381797
3,11,1.5537500381469727,54.896806
3,12,1.5512499809265137,54.284991
3,13,1.5549999475479126,54.694513
3,14,1.5549999475479126,54.481437
3,15,1.5549999475479126,54.493272
4,1,0.8762500286102295,48.646093
4,2,0.8575000166893005,49.165704
4,3,0.9318749904632568,48.843303
4,4,0.8637499809265137,48.126055
4,7,0.8493750095367432,47.908352
4,8,0.8506249785423279,48.364715
4,9,0.8543750047683716,48.706909
4,10,0.8525000214576721,49.138417
5,1,1.7074999809265137,52.301831
5,2,1.716249942779541,52.713257
5,3,1.7174999713897705,53.291450
5,6,1.71875,51.459687
5,7,1.71875,50.527891
5,8,1.7037500143051147,53.128108
5,9,1.716249942779541,53.044433
5,10,1.7100000381469727,53.010943
5,11,1.7287499904632568,54.905478
5,12,1.715000033378601,55.022828
5,13,1.7050000429153442,54.239824
5,14,1.7262500524520874,53.692673
6,3,1.3487499952316284,53.159237
6,11,1.3387500047683716,53.649763
6,12,1.2862499952316284,53.605879
6,13,1.34375,53.333201
6,14,1.3387500047683716,53.272389
7,3,0.09929687529802322,73.628457
7,6,0.08867187798023224,73.930286
7,7,0.10000000149011612,73.958407
7,8,0.09781250357627869,73.087696
7,9,0.10062500089406967,73.433795
7,10,0.08851562440395355,73.556243
7,11,0.09765625,70.988174
7,14,0.08992187678813934,69.795481
7,15,0.09773437678813934,69.327044
7,16,0.10000000149011612,70.994051
8,3,0.09929687529802322,71.426894
8,6,0.08867187798023224,71.295916
8,7,0.10000000149011612,70.948492
8,8,0.09781250357627869,71.261291
8,9,0.10062500089406967,69.603371
8,10,0.08851562440395355,69.545442
8,11,0.09765625,70.449941
8,14,0.08992187678813934,71.397145
8,15,0.09773437678813934,71.227183
8,16,0.10000000149011612,70.955530
9,1,1.6137499809265137,70.624824
9,2,1.621250033378601,70.786067
9,3,1.6299999952316284,71.499178
9,4,1.6649999618530273,71.362486
9,5,1.6237499713897705,70.488994
9,6,1.5987499952316284,70.016000
9,7,1.652500033378601,70.248021
9,8,1.6687500476837158,71.403437
9,9,1.6449999809265137,70.674818
9,10,1.6087499856948853,71.160678
9,11,1.6399999856948853,69.663408
9,12,1.6399999856948853,70.759362
9,13,1.6449999809265137,70.378847
9,14,1.6337499618530273,70.946293
9,15,1.2662500143051147,72.954005
9,16,1.6375000476837158,72.018503
9,17,1.6150000095367432,73.093791
9,20,1.6200000047683716,72.763606
