sentence,position,eps,timing,memory
0,1,1.469612107030116e-05,118.763437,3051991040
0,2,1.7499924069852568e-05,123.002073,1546766848
0,3,1.9168854123563506e-05,122.845079,1704509440
0,4,1.750946103129536e-05,121.940639,1441605120
0,5,1.5249252101057209e-05,122.396132,1651928576
0,6,2.1057128833490424e-05,131.126817,2211609088
0,7,2.0523071725619957e-05,133.435060,2421933056
0,8,1.8196105884271674e-05,120.532134,1389024256
0,9,2.613067590573337e-05,135.779361,1757089792
0,10,1.8615723092807457e-05,121.778508,1283862528
0,11,1.9741059077205136e-05,134.247162,2003128832
0,12,2.3040771338855848e-05,131.094728,1283862528
0,13,2.6588439141050912e-05,135.425422,1651928576
0,14,2.040863000729587e-05,131.585436,1283862528
0,15,1.9369124856893905e-05,125.562379,1651928576
0,16,2.269744800287299e-05,131.926534,2033837568
0,17,2.0503997802734375e-05,136.462651,3204460032
0,18,2.4166107323253527e-05,131.812312,4112178176
1,1,4.138946678722277e-05,175.343312,2071644672
1,2,4.447936953511089e-05,169.508446,2141472256
1,3,4.4517517380882055e-05,183.244092,2210353152
1,4,4.4860840716864914e-05,172.544365,2280376832
1,5,4.0092469134833664e-05,174.869319,2687774208
1,6,4.9819947889773175e-05,172.084974,2873437696
1,7,4.638671816792339e-05,171.696937,3347603456
1,8,4.2686460801633075e-05,170.593843,1858029056
1,9,4.7378540330100805e-05,173.014524,2346818048
1,10,5.5007934861350805e-05,174.760770,1788201984
1,11,4.352569521870464e-05,173.538660,3467010560
1,12,5.374908505473286e-05,174.636651,1858225152
1,13,6.057739301468246e-05,172.491035,2277384704
1,14,5.1536560931708664e-05,178.221598,1858698240
1,15,4.882812572759576e-05,171.808657,2735145984
1,16,5.580902143265121e-05,172.530350,1858633216
1,17,5.874633643543348e-05,176.236910,2207571968
1,18,3.782272324315272e-05,158.848684,1858029056
1,19,5.512237476068549e-05,172.026020,2276991488
1,20,4.8866273573366925e-05,177.744287,3011977728
