sentence,position,eps,timing,memory
0,1,3.6907194953528233e-06,125.686034,3782593024
0,2,4.620551862899447e-06,131.255826,1546766848
0,3,4.7540665946144145e-06,130.747098,1651928576
0,4,4.234314019413432e-06,128.584576,1845386240
0,5,4.251003247190965e-06,128.929872,2092377600
0,6,4.887580871582031e-06,118.319272,1671730688
0,7,4.653930773201864e-06,131.759622,1704509440
0,8,4.634857305063633e-06,129.656530,1441605120
0,9,5.645752025884576e-06,121.247468,2454484992
0,10,3.869533429678995e-06,128.570801,1389024256
0,11,4.57763690064894e-06,130.466935,1704509440
0,12,4.920959327137098e-06,118.749665,1336443392
0,13,6.036758350091986e-06,123.831822,1651928576
0,14,5.34057608092553e-06,119.122877,2033838080
0,15,4.963874744134955e-06,122.395466,2401904128
0,16,5.798339770990424e-06,120.191633,2454484992
0,17,5.559921191888861e-06,119.144505,1845386240
0,18,5.807876732433215e-06,122.307211,1704509440
1,1,9.760856300999876e-06,156.910988,1886225408
1,2,1.0757446034403984e-05,153.086247,2235361280
1,3,1.0728836059570312e-05,153.514764,2878090752
1,4,1.1024475497833919e-05,148.492069,3446871552
1,5,1.0471343557583168e-05,144.150416,2758204416
1,6,1.1434554835432209e-05,147.249302,3326788608
1,7,1.0337829735362902e-05,144.321611,3316821504
1,8,1.0366439710196573e-05,149.252293,3081543168
1,9,1.0776519957289565e-05,148.086419,4444303360
1,10,1.2912750207760837e-05,151.950041,1858712576
1,11,1.0719299098127522e-05,147.386382,2208045056
1,12,1.1959075891354587e-05,145.357248,1788398080
1,13,1.3418197340797633e-05,153.658610,2277188096
1,14,1.202583280246472e-05,143.525079,1648576000
1,15,1.0824203855008818e-05,153.597357,3221014528
1,16,1.3504028174793348e-05,155.838331,3453760000
1,17,1.296043410548009e-05,156.831896,1998236160
1,18,9.675026376498863e-06,146.067428,2207717376
1,19,1.2578963833220769e-05,147.434200,1927870464
1,20,1.1386870937712956e-05,148.165600,2346832384
1,21,1.1854172043967992e-05,146.027453,2802496512
1,22,1.1339187949488405e-05,153.472974,3221459456
1,23,1.12438201540499e-05,147.650676,3291286528
1,24,9.760856300999876e-06,148.781025,3220986368
1,25,1.4953613572288305e-05,144.611178,3290813440
2,1,6.100535188124923e-07,178.244083,1284413952
2,2,8.767843269197328e-07,150.104733,1690509824
2,3,8.505583082296653e-07,148.542698,1334468608
2,4,1.2242794582562055e-06,139.961272,1053355008
2,5,5.710124924007687e-07,160.683014,1373431296
2,6,1.2695788882410852e-06,137.823731,610098688
3,1,1.982450385185075e-06,144.517406,1277172224
3,2,3.6644935335061746e-06,129.101672,1279378432
3,3,3.2019615900935605e-06,130.840796,1510831616
3,4,3.0970572879596148e-06,127.032866,1917114880
3,5,3.948211542592617e-06,132.359988,2861935616
3,6,2.956390289909905e-06,130.184805,1917114880
3,7,3.0732155664736638e-06,133.709065,2879436288
3,8,3.509521548039629e-06,128.892005,1871007744
3,9,3.1995773497328628e-06,133.953115,2195592704
3,10,3.5500527246767888e-06,126.071929,1567562752
3,11,2.440214075249969e-06,139.716704,1623566848
3,12,3.3783912840590347e-06,129.225797,1186246656
3,13,4.272460955689894e-06,133.862563,1510831616
3,14,3.52859501617786e-06,128.297093,1853507072
3,15,4.625320343620842e-06,132.381754,2178092032
4,1,1.1336803709127707e-06,204.904061,2403139072
4,2,1.2421608062140876e-06,185.610883,1500010496
4,3,1.067519178832299e-06,215.481976,1306312192
4,4,1.6868114016688196e-06,202.643583,1955726336
4,7,1.0907649539149133e-06,209.580612,1368526848
4,8,1.3756751968685421e-06,199.404474,2434042368
4,9,1.3113021850585938e-06,202.440929,1850059264
4,10,1.5258789289873675e-06,196.754215,2433731584
5,1,3.6287308375904104e-06,187.945390,1124739584
5,2,3.161430413456401e-06,187.060518,1980413952
5,3,4.425048700795742e-06,180.099159,1164152320
5,6,3.5762786865234375e-06,191.099400,2019826176
5,7,3.5643577120936243e-06,181.998316,1121426432
5,8,3.0469893772533396e-06,187.802831,1977100288
5,9,3.623962356869015e-06,191.233949,1737402880
5,10,3.0446053642663173e-06,186.930027,1993758208
5,11,4.265308234607801e-06,174.608153,1078700544
5,12,4.158020146860508e-06,185.236785,1377781760
5,13,3.211498324162676e-06,179.160424,1035974656
5,14,4.270076715329196e-06,183.575484,1335055872
6,3,5.860328656126512e-06,169.993908,1035983872
6,11,6.422996648325352e-06,170.025930,1292339712
