sentence,position,eps,timing
0,1,1.7612500190734863,7.495682
0,2,1.7549999952316284,7.515999
0,3,1.8537499904632568,7.645999
0,4,1.7662500143051147,7.643188
0,5,1.7612500190734863,7.637313
0,6,1.7687499523162842,7.568464
0,7,1.8037500381469727,7.629021
0,8,1.7699999809265137,7.679774
0,9,1.816249966621399,7.612715
0,10,1.752500057220459,7.695559
0,11,1.7712500095367432,7.641470
0,12,1.7575000524520874,7.705064
0,13,1.783750057220459,7.713433
0,14,1.778749942779541,7.675953
0,15,1.7549999952316284,7.682310
0,16,1.8350000381469727,7.734889
0,17,1.8312499523162842,7.750326
0,18,1.7625000476837158,7.916292
1,1,2.518749952316284,8.020647
1,2,2.521250009536743,8.001446
1,3,2.5225000381469727,8.142221
1,4,2.5112500190734863,8.124211
1,5,2.521250009536743,7.865164
1,6,2.5199999809265137,8.029713
1,7,2.5225000381469727,8.137415
1,8,2.523750066757202,8.007105
1,9,2.533750057220459,8.076410
1,10,2.516249895095825,8.091480
1,11,2.5012500286102295,8.041369
1,12,2.505000114440918,10.153161
1,13,2.509999990463257,10.106168
1,14,2.515000104904175,8.128025
1,15,2.507499933242798,10.099202
1,16,2.505000114440918,9.767346
1,17,2.509999990463257,8.002810
1,18,2.523750066757202,10.275368
1,19,2.497499942779541,9.995281
1,20,2.505000114440918,7.895843
1,21,2.505000114440918,10.197814
1,22,2.512500047683716,9.891040
1,23,2.509999990463257,7.963308
1,24,2.502500057220459,7.998516
1,25,2.502500057220459,8.032968
2,1,1.2912499904632568,8.698235
2,2,1.2975000143051147,8.629587
2,3,1.318750023841858,8.635985
2,4,1.2887500524520874,8.576838
2,5,1.3287500143051147,8.908350
2,6,1.3025000095367432,8.787848
3,1,2.151249885559082,7.788961
3,2,2.117500066757202,7.963866
3,3,2.1237499713897705,7.899813
3,4,2.125,7.872335
3,5,2.125,7.934686
3,6,2.1700000762939453,8.045432
3,7,2.1287500858306885,7.619467
3,8,2.1362500190734863,7.567353
3,9,2.1237499713897705,7.551422
3,10,2.137500047683716,7.577916
3,11,2.1237499713897705,7.711845
3,12,2.1287500858306885,7.604760
3,13,2.1212499141693115,7.574855
3,14,2.1287500858306885,7.602392
3,15,2.127500057220459,7.731740
4,1,1.4387500286102295,9.883924
4,2,1.3912500143051147,9.562597
4,3,1.528749942779541,10.348233
4,4,1.3975000381469727,10.284520
4,7,1.3612500429153442,10.238600
4,8,1.3925000429153442,10.441596
4,9,1.350000023841858,10.839886
4,10,1.372499942779541,10.400863
5,1,2.403749942779541,11.472600
5,2,2.4124999046325684,11.563559
5,3,2.422499895095825,11.515165
5,6,2.4362499713897705,11.617780
5,7,2.4237499237060547,11.642635
5,8,2.4987499713897705,11.586766
5,9,2.4124999046325684,11.882556
5,10,2.4549999237060547,11.721690
5,11,2.413749933242798,11.241189
5,12,2.3550000190734863,11.405830
5,13,2.444999933242798,11.731987
5,14,2.4337499141693115,11.757358
6,3,1.850000023841858,11.962801
6,11,1.868749976158142,11.786070
6,12,1.9275000095367432,11.460232
6,13,1.9275000095367432,13.306513
6,14,1.84375,12.549422
7,3,0.6171875,8.990071
7,6,0.6212499737739563,8.986650
7,7,0.6274999976158142,8.989532
7,8,0.6253125071525574,9.140439
7,9,0.6312500238418579,9.041511
7,10,0.6265624761581421,8.922790
7,11,0.6318749785423279,8.958966
7,14,0.6268749833106995,8.990143
7,15,0.625,8.996871
7,16,0.6321874856948853,9.256059
8,1,0.036152344197034836,18.758402
8,2,0.035957030951976776,18.850115
8,3,0.03583984449505806,18.508926
8,4,0.035859376192092896,17.429023
8,5,0.03587890788912773,19.928558
8,6,0.03599609434604645,18.815892
8,7,0.03599609434604645,19.140332
8,12,0.03599609434604645,18.721301
9,3,0.6171875,9.330861
9,6,0.6212499737739563,9.663344
9,7,0.6274999976158142,9.422491
9,8,0.6253125071525574,9.355244
9,9,0.6312500238418579,9.327051
9,10,0.6265624761581421,9.450631
9,11,0.6318749785423279,9.516432
9,14,0.6268749833106995,9.513374
9,15,0.625,9.394979
9,16,0.6321874856948853,9.398782
