sentence,position,eps,timing,memory
0,1,0.22078125178813934,50.295382,5250620928
0,2,0.22593750059604645,50.358237,5250519040
0,3,0.2434374988079071,51.045459,5245918208
0,4,0.2264062464237213,51.047605,5250519040
0,5,0.22546875476837158,50.419008,5250529280
0,6,0.22578124701976776,50.782167,5250519040
0,7,0.23093749582767487,50.376915,5250375680
0,8,0.2264062464237213,50.277129,5250508800
0,9,0.23468750715255737,50.938704,5249986560
0,10,0.22484375536441803,50.225610,5250519040
0,11,0.2264062464237213,50.241521,5250519040
0,12,0.22484375536441803,50.176623,5250519040
0,13,0.22765624523162842,49.753886,5250457600
0,14,0.2267187535762787,50.095464,5250519040
0,15,0.2240625023841858,50.945239,5250560000
0,16,0.23203125596046448,49.880350,5250508800
0,17,0.23109374940395355,50.944228,5250447360
0,18,0.22624999284744263,51.844721,5250519040
1,1,0.2475000023841858,62.589974,7877213184
1,2,0.24656249582767487,63.640167,7879911424
1,3,0.24765625596046448,62.782173,7877006336
1,4,0.24609375,63.317052,7879358464
1,5,0.24562500417232513,62.560111,7880976896
1,6,0.24609375,63.787297,7880879104
1,7,0.24609375,63.396482,7883839488
1,8,0.24687500298023224,62.804257,7879413760
1,9,0.24796874821186066,63.571610,7882290176
1,10,0.2473437488079071,63.374151,7879220224
1,11,0.2462500035762787,63.178686,7880395264
1,12,0.24562500417232513,63.372647,7879800832
1,13,0.24609375,63.905504,7881363968
1,14,0.24609375,63.053121,7879247872
1,15,0.24546875059604645,62.483723,7880478208
1,16,0.24531249701976776,63.115733,7880160256
1,17,0.24609375,63.850343,7878597120
1,18,0.24531249701976776,62.852346,7883314176
1,19,0.24578124284744263,63.739371,7879344640
1,20,0.24500000476837158,63.523393,7880616448
1,21,0.24578124284744263,62.492726,7880284672
1,22,0.24578124284744263,62.556967,7882013696
1,23,0.2487500011920929,63.413142,7873977856
1,24,0.24515624344348907,62.472208,7880934400
1,25,0.2459374964237213,61.813592,7878998016
2,1,0.17421874403953552,37.824196,553178112
2,2,0.1745312511920929,37.678303,553121280
2,3,0.1731249988079071,37.397183,553809408
2,4,0.17531250417232513,37.514703,553780736
2,5,0.17156249284744263,36.497146,553580032
2,6,0.17578125,36.257789,554440192
3,1,0.2698437571525574,45.103234,3276376576
3,2,0.27296873927116394,45.360928,3276081664
3,3,0.27125000953674316,45.441920,3276107776
3,4,0.27140626311302185,45.311699,3276081664
3,5,0.2710937559604645,45.243763,3276125184
3,6,0.2709375023841858,45.067529,3276132352
3,7,0.2706249952316284,45.445163,3276229632
