index,eps,timing,memory
0,0.021640624999999997,7.617625,706506752
1,0.021367187499999996,7.578423,706506752
2,0.022910156249999997,7.772772,706506752
3,0.02021484375,8.084581,706506752
4,0.019619140625000003,7.877573,706506752
5,0.028222656249999995,7.829269,706446336
6,0.02408203125,7.791502,706506752
7,0.015732421875,7.837687,706506752
8,0.01517578125,7.739345,706506752
9,0.027089843750000005,7.640820,706506752
10,0.021269531249999998,7.739463,706446336
11,0.017773437500000003,8.193897,706446336
12,0.0191796875,8.171314,706506752
13,0.013066406250000002,7.879930,706506752
14,0.018017578125000003,7.824717,706446336
15,0.018251953125,7.755075,706506752
16,0.025585937500000003,7.761738,706446336
17,0.018251953125,7.752098,706506752
18,0.025820312500000005,7.725339,706506752
19,0.017968750000000002,7.771970,706506752
20,0.02146484375,7.710344,706446336
21,0.01517578125,7.713575,706446336
22,0.018427734375000004,7.681657,706506752
23,0.024140625,8.082630,706506752
24,0.02443359375,7.740166,706506752
25,0.029921875,8.101513,706506752
26,0.017968750000000002,8.373281,706506752
27,0.02240234375,8.283573,706506752
28,0.019355468750000004,8.198591,706446336
29,0.018701171875000006,7.938425,706506752
30,0.01630859375,8.162983,706506752
31,0.017324218750000002,8.282126,706506752
32,0.016318359375,7.964762,706506752
33,0.017968750000000002,7.989586,706506752
34,0.017773437500000003,7.940457,706446336
35,0.014052734374999999,7.904620,706506752
36,0.008798828125,8.557140,706506752
37,0.0253125,8.315853,706506752
38,0.021738281249999998,8.327591,706506752
39,0.012636718750000001,8.267471,706506752
40,0.0308984375,8.385794,706506752
41,0.021269531249999998,8.281090,706446336
42,0.00396728515625,9.802379,706506752
43,0.019619140625000003,8.244914,706506752
44,0.01982421875,8.246945,706506752
45,0.0308984375,7.954148,706506752
46,0.01666015625,8.209448,706506752
47,0.016455078125,8.259794,706506752
48,0.017841796875000003,8.111763,706446336
49,0.015732421875,8.450015,706506752
50,0.01517578125,8.524661,706506752
51,0.0178515625,8.204555,706506752
52,0.018320312500000005,8.068451,706506752
53,0.020312499999999997,8.411889,706506752
54,0.0253125,8.276235,706506752
55,0.007255859375,8.859189,706506752
56,0.01630859375,8.077607,706506752
57,0.009682617187500003,8.713418,706506752
58,0.02240234375,8.046667,706506752
59,0.0176171875,8.008207,706506752
60,0.02580078125,7.998773,706446336
61,0.0075,8.698244,706506752
62,0.015742187499999998,8.035799,706506752
63,0.017324218750000002,7.980379,706506752
64,0.0175390625,8.031676,706446336
65,0.02443359375,7.985596,706506752
66,0.019687500000000004,8.014344,706506752
67,0.02181640625,8.033271,706506752
68,0.016455078125,8.452358,706506752
69,0.014580078124999998,8.431919,706506752
70,0.008798828125,9.028947,706506752
71,0.028222656249999995,8.269901,706446336
72,0.02408203125,8.006997,706506752
73,0.0256640625,8.005162,706506752
74,0.027089843750000005,8.003774,706506752
75,0.0308984375,7.993464,706506752
76,0.017255859375,8.362660,706446336
77,0.010791015624999999,8.228760,706506752
78,0.0308984375,8.446970,706506752
79,0.01630859375,8.615633,706506752
80,0.019687500000000004,8.419181,706506752
81,0.012636718750000001,8.659402,706506752
82,0.024140625,8.231107,706506752
83,0.0308984375,8.195199,706506752
84,0.018642578125000003,8.149145,706446336
85,0.025585937500000003,8.544533,706446336
86,0.00396728515625,9.677107,706506752
87,0.016455078125,8.223389,706506752
88,0.01736328125,8.137532,706506752
89,0.021640624999999997,8.144666,706506752
90,0.008798828125,9.373273,706506752
91,0.01416015625,8.334921,706506752
92,0.0175390625,8.199845,706446336
93,0.017255859375,8.206727,706446336
94,0.0248046875,8.132324,706446336
95,0.0075,8.802403,706506752
96,0.0248046875,8.131174,706446336
97,0.010537109375,8.082137,706506752
98,0.0253125,8.126962,706506752
99,0.021347656249999996,8.088779,706506752
