index,eps,timing,memory
0,0.748125,7.424876,655323648
1,0.783125,7.561007,655384576
2,0.7887500000000001,7.913373,655436800
3,0.718125,7.965850,655610880
4,0.674375,7.694802,655106048
5,0.9624999999999999,7.704028,655066112
6,0.750625,7.744359,655558656
7,0.6000000000000001,8.342058,655697920
8,0.5746875,8.360384,655602176
9,0.774375,7.527355,655106048
10,0.7362500000000001,7.651068,655083520
11,0.6125,8.130521,654979072
12,0.6125,8.321618,655689216
13,0.4878125,8.356719,655697920
14,0.6656249999999999,8.738401,655518720
15,0.6731249999999999,8.173831,655419392
16,0.8625,7.705093,654970368
17,0.6731249999999999,7.785418,655419392
18,0.9618749999999999,7.787694,655523840
19,0.581875,8.687522,655013888
20,0.6906249999999999,8.089376,655640576
21,0.5603125,8.723840,655614464
22,0.6106250000000001,8.736905,655697920
23,0.885,8.131058,655489024
24,0.8262500000000002,8.040242,655549952
25,1.00125,7.695072,655236608
26,0.581875,8.272921,655013888
27,0.853125,7.799034,655236608
28,0.6643749999999999,7.603170,655248896
29,0.6006250000000001,8.462617,655671808
30,0.5471875000000002,8.804805,655697920
31,0.5853125000000001,8.752156,655697920
32,0.5540625,8.576029,655697920
33,0.581875,8.327154,655013888
34,0.6125,8.337451,654979072
35,0.51875,8.549119,655697920
36,0.2959375,9.158558,655349760
37,0.9531249999999999,7.662881,654897152
38,0.358125,8.541366,655697920
39,0.43468750000000006,8.344817,655210496
40,0.99,7.876558,655314944
41,0.7362500000000001,7.864814,655083520
42,0.19875,9.485592,655636992
43,0.674375,7.913872,655106048
44,0.69625,7.844004,655410688
45,0.99,7.954801,655314944
46,0.6699999999999999,7.895466,655445504
47,0.645,7.886717,655245312
48,0.69625,7.921329,655222784
49,0.6000000000000001,8.573013,655697920
50,0.5746875,8.552353,655602176
51,0.679375,8.100160,655445504
52,0.5787500000000001,9.344851,655697920
53,0.6875,8.595005,655680512
54,0.9531249999999999,8.083581,654897152
55,0.33124999999999993,8.756613,655445504
56,0.5471875000000002,8.704308,655697920
57,0.38343750000000004,8.666393,655628288
58,0.853125,7.984307,655236608
59,0.5900000000000001,8.632893,655680512
60,0.9037499999999998,7.810174,654961664
61,0.3440625,8.672933,655671808
62,0.6062500000000002,8.692635,655697920
63,0.5803125,8.733517,655697920
64,0.5128124999999999,8.695789,655680512
65,0.8262500000000002,8.025699,655549952
66,0.801875,8.022166,655541248
67,0.8225,7.803496,655005184
68,0.645,8.574998,655245312
69,0.5396875000000001,9.100525,655689216
70,0.2959375,9.551719,655349760
71,0.9624999999999999,8.021026,655066112
72,0.750625,8.076516,655558656
73,0.95875,8.079016,655401984
74,0.774375,7.854100,655106048
75,0.99,8.000684,655314944
76,0.5581250000000001,8.708926,655631872
77,0.46562499999999996,8.476964,654822400
78,0.99,8.159385,655314944
79,0.5471875000000002,9.249472,655697920
80,0.801875,8.554469,655541248
81,0.43468750000000006,8.865306,655210496
82,0.885,8.069201,655489024
83,0.99,8.047828,655314944
84,0.6549999999999999,8.330831,655536128
85,0.8625,8.203664,654970368
86,0.19875,9.489875,655636992
87,0.645,8.085480,655245312
88,0.66625,7.876298,655401984
89,0.748125,7.873834,655323648
90,0.2959375,9.405783,655349760
91,0.6218750000000001,8.686388,655323648
92,0.5128124999999999,8.701589,655680512
93,0.5581250000000001,8.660078,655631872
94,0.7775000000000001,7.756707,655144448
95,0.3440625,8.648246,655671808
96,0.7775000000000001,7.795568,655144448
97,0.42031250000000003,8.673349,655689216
98,0.9531249999999999,7.797039,654897152
99,0.7424999999999999,8.149362,655497728
